listing_id,city,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,availability_rate,avg_min_nights,avg_max_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,estimated_occupancy_l365d,estimated_revenue_l365d,amenities_count
1028973316785737478,twin_cities,Hennepin,Entire home,entire home/apt,8,3,4,229,3,93,0.2547945205479452,3,365,16,4.63,4.81,4.44,f,f,30,6870,52
1166907641931739495,twin_cities,Wright,Entire cabin,entire home/apt,4,2,3,180,2,226,0.6191780821917808,1.9972602739726026,6,50,5,4.9,4.84,t,f,204,36720,65
1178930298154936426,twin_cities,Wright,Entire home,entire home/apt,9,4,5,199,2,268,0.7342465753424657,1.9972602739726026,365,19,4.58,4.95,4.58,t,t,78,15522,60
1289172871923057891,twin_cities,Hennepin,Entire home,entire home/apt,6,3,6,193,1,88,0.2410958904109589,1,120,1,5,5,5,f,f,6,1158,20
1297838082549753197,twin_cities,Hennepin,Entire home,entire home/apt,10,5,5,167,2,265,0.726027397260274,2,365,1,3,4,3,f,f,6,1002,11
1435064305846460904,twin_cities,Wright,Entire rental unit,entire home/apt,4,1,1,81,2,252,0.6904109589041096,2.021917808219178,365,13,4.92,5,4.92,f,t,78,6318,45
1492088261711482158,twin_cities,Dakota,Private room in home,private room,1,1,1,34,30,50,0.136986301369863,30,365,0,null,null,null,f,f,0,0,11
8066269,twin_cities,Ramsey,Private room in home,private room,1,1,1,42,1,58,0.1589041095890411,1,1125,40,4.9,4.87,4.74,t,f,30,1260,59
22669967,twin_cities,Hennepin,Entire serviced apartment,entire home/apt,2,1,2,81,2,70,0.1917808219178082,2,100,156,4.9,4.94,4.92,t,f,120,9720,27
26008813,twin_cities,Wright,Entire townhouse,entire home/apt,6,2,5,214,2,138,0.3780821917808219,2.515068493150685,1125,13,4.46,4.62,4.38,f,t,18,3852,30
40263364,twin_cities,Ramsey,Private room in home,private room,1,1,1,42,13,258,0.7068493150684931,13,1125,14,4.79,5,4.93,t,f,52,2184,57
48031912,twin_cities,Chisago,Room in boutique hotel,private room,2,1,1,147,1,352,0.9643835616438357,1,365,40,4.55,4.35,4.53,f,t,18,2646,36
895676852930345752,twin_cities,Hennepin,Private room in home,private room,2,1,1,55,1,291,0.7972602739726027,1,1125,199,4.82,4.71,4.85,f,t,255,14025,62
1000721194054356613,twin_cities,Hennepin,Entire home,entire home/apt,6,4,4,135,14,278,0.7616438356164383,14,365,2,5,4.5,4.5,t,f,56,7560,39
1110189406879404783,twin_cities,Hennepin,Entire townhouse,entire home/apt,6,3,4,186,2,43,0.1178082191780822,2.515068493150685,1125,25,5,4.96,4.88,f,t,114,21204,32
1188442308491408865,twin_cities,Hennepin,Private room in home,private room,2,1,1,109,2,261,0.7150684931506849,2,365,18,4.94,5,4.89,t,f,78,8502,41
1424949580175946018,twin_cities,Ramsey,Entire rental unit,entire home/apt,6,2,3,159,1,150,0.410958904109589,3.9287671232876713,1125,15,4.53,4.93,4.4,f,f,90,14310,53
17650826,twin_cities,Sherburne,Entire home,entire home/apt,6,2,4,256,2,19,0.052054794520547946,2,1125,91,4.92,4.87,4.79,t,t,90,23040,40
587010605540888487,twin_cities,Ramsey,Entire bungalow,entire home/apt,10,4,5,240,3,309,0.8465753424657534,3,1125,50,4.98,4.88,4.82,t,f,78,18720,62
1050206706020357776,twin_cities,St. Croix,Entire cabin,entire home/apt,2,0,1,77,2,260,0.7123287671232876,2,365,20,4.7,4.75,4.7,f,f,66,5082,9
1290020484148379020,twin_cities,Hennepin,Entire home,entire home/apt,10,5,5,286,2,73,0.2,2,30,19,5,4.89,4.89,t,f,114,32604,36
6659752,twin_cities,Washington,Farm stay,entire home/apt,4,1,2,150,1,194,0.5315068493150685,1,439.2054794520548,541,4.96,4.94,4.9,t,t,255,38250,61
21423300,twin_cities,Hennepin,Entire home,entire home/apt,8,3,4,328,3,239,0.6547945205479452,3.0821917808219177,1125,146,4.97,4.94,4.9,f,f,96,31488,56
