listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
22397026,chicago,Avondale,entire home/apt,121,126,-3.97,1,99.1,44.71,77.81,66.64,8,0.4818
1381658476850665993,chicago,Humboldt Park,entire home/apt,133,135,-1.48,0.0444,5.97,55.42,26.29,37.07,8,0.4272
43098894,chicago,East Garfield Park,private room,40,49,-18.37,0.0111,1.49,51.72,27.21,40.54,8,0.3809
701987560432934044,chicago,Near West Side,entire home/apt,189,211,-10.43,0.9222,93.33,38.1,0,46.32,12,0.3889
948073378669236963,chicago,Humboldt Park,entire home/apt,161,135,19.26,0.0333,4.46,44.58,61.95,36.75,8,0.4272
1498262651349295922,chicago,Near North Side,entire home/apt,267,219,21.92,0.4556,53.98,31.87,0,27.19,12,0.4097
1013255877387797430,chicago,New City,private room,37,30,23.33,0.4667,52.05,76.6,0,37.56,8,0.4616
1308547663849723453,chicago,Near North Side,entire home/apt,282,219,28.77,0.3667,44.75,38.46,0,24.93,12,0.4097
979536948521188472,chicago,Loop,entire home/apt,181,206,-12.14,0.2222,26.35,36.36,0,33,12,0.3986
1248572810327846055,chicago,Near North Side,shared room,51,46,10.87,0.1,13.44,44,52.47,38.55,12,0.4097
613836997434550887,chicago,Brighton Park,entire home/apt,119,95,25.26,0.1556,22.5,83.33,91.6,55.66,12,0.3615
842749728060157787,chicago,Logan Square,entire home/apt,175,143,22.38,0,0,51.19,59.73,36.02,8,0.531
1227600566557955531,chicago,Logan Square,entire home/apt,114,143,-20.28,0.4222,48.16,65.48,24.05,53.1,8,0.531
1370127694249628040,chicago,Loop,entire home/apt,200,206,-2.91,0.5556,60.96,39.77,0,38.01,12,0.3986
712453913018677418,chicago,Lake View,entire home/apt,95,181,-47.51,0.4889,55.76,53.09,15.33,57.51,8,0.5277
50489917,chicago,Near West Side,entire home/apt,189,211,-10.43,0.1889,25.31,46.43,82.03,55.3,12,0.3889
1370127694249628040,chicago,Loop,entire home/apt,200,206,-2.91,0.1333,16.15,39.77,0,29.05,12,0.3986
969159516611516032,chicago,Englewood,private room,37,37,0,0.5667,59.4,90.48,56.91,63.73,8,0.4318
1073362730570677543,chicago,West Town,entire home/apt,142,168,-15.48,0.9889,98.36,51.16,52.81,65.31,8,0.4327
51519686,chicago,Grand Boulevard,entire home/apt,120,158,-24.05,0.9444,94.82,100,17.23,70.49,8,0.3717
744664821738227617,chicago,Near North Side,entire home/apt,305,219,39.27,0.5,58.28,37.36,0,24.22,12,0.4097
1065789316113634299,chicago,Near North Side,entire home/apt,201,219,-8.22,0.6778,74.23,35.16,0,41.1,12,0.4097
38950182,chicago,South Lawndale,entire home/apt,196,105,86.67,0.8667,88.3,53.68,17.6,35.48,8,0.4439
51751554,chicago,Lower West Side,entire home/apt,69,129,-46.51,0.1667,20.89,25.84,79.22,59.4,8,0.5403
755934562888126191,chicago,Lake View,entire home/apt,167,181,-7.73,0.4,46.96,58.02,15.33,45.05,8,0.5277
1402304675423265092,chicago,Lake View,entire home/apt,108,181,-40.33,0.7,74.52,45.68,16.82,57.63,8,0.5277
734851598384432592,chicago,Rogers Park,entire home/apt,81,115,-29.57,0.2222,27.94,55.26,69.59,60.67,8,0.4761
1247776787222705941,nashville,District 2,entire home/apt,137,198,-30.81,0.2333,41.31,72.29,39.39,60.42,8,0.2505
23074190,nashville,District 24,entire home/apt,189,136,38.97,0,0,80.6,55.5,37.33,8,0.3646
797148074159970987,nashville,District 5,entire home/apt,108,160,-32.5,0.2667,42.53,77.27,86.36,74.16,12,0.3243
769727367095376357,nashville,District 6,entire home/apt,132,147,-10.2,0.3778,51.63,51.69,73.49,59.68,12,0.3585
1110180960253860842,nashville,District 19,entire home/apt,161,173,-6.94,0.8556,90.47,39.58,26.05,51.58,8,0.3282
16982090,nashville,District 19,entire home/apt,173,173,0,0.3,45.35,33.33,96.72,56.58,8,0.3282
1360283485081887262,nashville,District 19,entire home/apt,128,173,-26.01,0.1889,30.41,53.13,14.5,45.79,8,0.3282
32308420,nashville,District 17,entire home/apt,76,172,-55.81,0.8333,88.9,23.71,44.36,64.8,12,0.3042
44390779,nashville,District 5,entire home/apt,114,160,-28.75,0.0889,15.44,55.68,52.52,53.76,12,0.3243
1237585457379773722,nashville,District 5,entire home/apt,223,160,39.38,0.6444,77.25,55.68,36.48,41.68,12,0.3243
1353633331859849521,nashville,District 27,entire home/apt,77,77,0,0.0667,8.1,57.14,34.31,39.48,8,0.4866
1074206129109420429,nashville,District 5,entire home/apt,170,160,6.25,0.0889,15.44,84.09,14.07,40.75,12,0.3243
43435358,nashville,District 17,entire home/apt,103,172,-40.12,0.1222,21.76,50.52,75.25,62.83,12,0.3042
1135753826639293852,nashville,District 19,entire home/apt,102,173,-41.04,0.1444,23.65,40.63,15.49,46.07,8,0.3282
1179030127948564589,nashville,District 17,entire home/apt,400,172,132.56,0.8556,90.31,74.23,18.87,41.34,12,0.3042
1011324059982537670,nashville,District 15,entire home/apt,187,138,35.51,0.5444,61.93,33.33,0,25.07,8,0.5031
590305946058064322,nashville,District 21,entire home/apt,135,160,-15.63,0.3444,49.83,66.29,80.63,66.38,8,0.3211
811645935641520737,nashville,District 21,entire home/apt,165,160,3.13,0.2,32.87,47.19,54.35,46.02,8,0.3211
1445894095542401053,nashville,District 19,entire home/apt,287,173,65.9,0.5778,71.79,57.29,9.22,30.99,8,0.3282
14664334,nashville,District 5,entire home/apt,91,160,-43.13,0.8333,89.34,61.36,95.44,85.01,12,0.3243
16613520,nashville,District 6,entire home/apt,64,147,-56.46,0.6111,71.88,55.06,81.13,78.42,12,0.3585
